index,INSTNM,DISTANCEONLY,TUITFTE,ADM_RATE_ALL,NPT4_PUB,HIGHDEG_ Associate degree,HIGHDEG_ Bachelor&#39;s degree,HIGHDEG_ Certificate degree,HIGHDEG_ Graduate degree,HIGHDEG_ Non-degree-granting,Labels_3Clusters
0,Alabama A & M University,0.0,9063.0,0.8989,13415.0,0,0,0,1,0,0
1,University of Alabama at Birmingham,0.0,9033.0,0.8673,14805.0,0,0,0,1,0,0
3,University of Alabama in Huntsville,0.0,8322.0,0.8062,17520.0,0,0,0,1,0,0
4,Alabama State University,0.0,7813.0,0.5125,11936.0,0,0,0,1,0,0
5,The University of Alabama,0.0,12198.0,0.5655,20916.0,0,0,0,1,0,0
8,Auburn University at Montgomery,0.0,7625.0,0.8371,11915.0,0,0,0,1,0,0
9,Auburn University,0.0,13186.0,0.8274,17541.0,0,0,0,1,0,0
26,Jacksonville State University,0.0,6192.0,0.8326,16078.0,0,0,0,1,0,0
32,University of West Alabama,0.0,9161.0,0.9957,13221.0,0,0,0,1,0,0
37,University of Montevallo,0.0,7161.0,0.8729,15003.0,0,0,0,1,0,0
39,University of North Alabama,0.0,6530.0,0.8092,11476.0,0,0,0,1,0,0
50,University of South Alabama,0.0,6914.0,0.8604,13027.0,0,0,0,1,0,0
56,Troy University,0.0,8133.0,0.6821,11168.0,0,0,0,1,0,0
83,Arizona State University-Tempe,0.0,11705.0,0.7626,11480.0,0,0,0,1,0,0
85,University of Arizona,0.0,12051.0,0.7692,13617.0,0,0,0,1,0,0
111,Northern Arizona University,0.0,6697.0,0.9137,15011.0,0,0,0,1,0,0
133,University of Arkansas at Little Rock,0.0,6265.0,0.5274,10087.0,0,0,0,1,0,0
142,University of Arkansas,0.0,6624.0,0.5858,11861.0,0,0,0,1,0,0
143,University of Arkansas at Pine Bluff,0.0,2277.0,0.277,7695.0,0,0,0,1,0,0
145,Arkansas State University-Main Campus,0.0,3527.0,0.7551,9475.0,0,0,0,1,0,0
146,Arkansas Tech University,0.0,3247.0,0.8503,9128.0,0,0,0,1,0,0
151,University of Central Arkansas,0.0,4425.0,0.8997,9693.0,0,0,0,1,0,0
162,Henderson State University,0.0,2994.0,0.6221,8049.0,0,0,0,1,0,0
194,Southern Arkansas University Main Campus,0.0,3465.0,0.6081,7543.0,0,0,0,1,0,0
235,California Polytechnic State University-San Luis Obispo,0.0,7908.0,0.3123,17112.0,0,0,0,1,0,0
237,California State University-Bakersfield,0.0,3182.0,0.6626,8634.0,0,0,0,1,0,0
238,California State University-Stanislaus,0.0,4704.0,0.7215,7797.0,0,0,0,1,0,0
239,California State University-San Bernardino,0.0,5417.0,0.5831,7619.0,0,0,0,1,0,0
240,California State Polytechnic University-Pomona,0.0,4577.0,0.5218,12135.0,0,0,0,1,0,0
241,California State University-Chico,0.0,5091.0,0.7161,15184.0,0,0,0,1,0,0
242,California State University-Dominguez Hills,0.0,5563.0,0.5747,3698.0,0,0,0,1,0,0
243,California State University-Fresno,0.0,3990.0,0.5815,7093.0,0,0,0,1,0,0
244,California State University-Fullerton,0.0,6147.0,0.4579,9034.0,0,0,0,1,0,0
245,California State University-East Bay,0.0,6821.0,0.6872,12535.0,0,0,0,1,0,0
246,California State University-Long Beach,0.0,5322.0,0.3082,9699.0,0,0,0,1,0,0
247,California State University-Los Angeles,0.0,4287.0,0.6752,5431.0,0,0,0,1,0,0
248,California State University-Northridge,0.0,5994.0,0.4624,11439.0,0,0,0,1,0,0
249,California State University-Sacramento,0.0,5274.0,0.6968,10614.0,0,0,0,1,0,0
250,University of California-Berkeley,0.0,16733.0,0.18,13769.0,0,0,0,1,0,0
251,University of California-Davis,0.0,13500.0,0.4521,15054.0,0,0,0,1,0,0
252,University of California-Irvine,0.0,13713.0,0.4239,11944.0,0,0,0,1,0,0
253,University of California-Los Angeles,0.0,15123.0,0.2199,13723.0,0,0,0,1,0,0
254,University of California-Riverside,0.0,11937.0,0.62,11473.0,0,0,0,1,0,0
255,University of California-San Diego,0.0,13805.0,0.375,14421.0,0,0,0,1,0,0
257,University of California-Santa Barbara,0.0,13553.0,0.4444,14142.0,0,0,0,1,0,0
258,University of California-Santa Cruz,0.0,11066.0,0.5991,15107.0,0,0,0,1,0,0
266,California Maritime Academy,0.0,8025.0,0.748,16974.0,0,0,0,1,0,0
361,Humboldt State University,0.0,5300.0,0.8018,14715.0,0,0,0,1,0,0
499,San Diego State University,0.0,6601.0,0.3133,11724.0,0,0,0,1,0,0
503,San Francisco State University,0.0,6712.0,0.6379,14235.0,0,0,0,1,0,0
512,San Jose State University,0.0,7238.0,0.6347,13794.0,0,0,0,1,0,0
538,Sonoma State University,0.0,6880.0,0.8186,17350.0,0,0,0,1,0,0
579,Adams State University,0.0,6026.0,0.526,14676.0,0,0,0,1,0,0
584,University of Colorado Denver,0.0,12112.0,0.7587,13594.0,0,0,0,1,0,0
585,University of Colorado Colorado Springs,0.0,9413.0,0.91,13020.0,0,0,0,1,0,0
587,University of Colorado Boulder,0.0,16762.0,0.8771,21849.0,0,0,0,1,0,0
594,Colorado School of Mines,0.0,17863.0,0.3743,24980.0,0,0,0,1,0,0
596,Colorado State University-Fort Collins,0.0,12292.0,0.7743,15707.0,0,0,0,1,0,0
616,Colorado Mesa University,0.0,6199.0,0.8212,15833.0,0,0,0,1,0,0
617,Metropolitan State University of Denver,0.0,5392.0,0.7116,10586.0,0,0,0,1,0,0
624,University of Northern Colorado,0.0,9051.0,0.6957,16679.0,0,0,0,1,0,0
634,Colorado State University-Pueblo,0.0,5059.0,0.9434,13658.0,0,0,0,1,0,0
640,Western State Colorado University,0.0,7032.0,0.932,14177.0,0,0,0,1,0,0
648,Central Connecticut State University,0.0,7671.0,0.6413,15772.0,0,0,0,1,0,0
654,University of Connecticut,0.0,11188.0,0.5321,19431.0,0,0,0,1,0,0
657,Eastern Connecticut State University,0.0,6540.0,0.6453,18364.0,0,0,0,1,0,0
690,Southern Connecticut State University,0.0,8775.0,0.7542,14750.0,0,0,0,1,0,0
696,Western Connecticut State University,0.0,7356.0,0.6549,15864.0,0,0,0,1,0,0
704,Delaware State University,0.0,6458.0,0.4168,13161.0,0,0,0,1,0,0
705,University of Delaware,0.0,17724.0,0.6468,15998.0,0,0,0,1,0,0
740,University of Central Florida,0.0,5069.0,0.4894,14048.0,0,0,0,1,0,0
751,Florida Agricultural and Mechanical University,0.0,5104.0,0.45,11905.0,0,0,0,1,0,0
752,Florida Atlantic University,0.0,5301.0,0.4773,13242.0,0,0,0,1,0,0
762,Florida International University,0.0,5931.0,0.4304,12266.0,0,0,0,1,0,0
768,Florida State University,0.0,5723.0,0.5681,14691.0,0,0,0,1,0,0
771,University of Florida,0.0,7411.0,0.4655,12582.0,0,0,0,1,0,0
817,University of North Florida,0.0,4980.0,0.5343,11528.0,0,0,0,1,0,0
848,University of South Florida-Main Campus,0.0,5963.0,0.4499,10281.0,0,0,0,1,0,0
870,The University of West Florida,0.0,5712.0,0.4808,12191.0,0,0,0,1,0,0
881,Albany State University,0.0,4431.0,0.1992,13154.0,0,0,0,1,0,0
883,Armstrong Atlantic State University,0.0,4637.0,0.6998,14795.0,0,0,0,1,0,0
904,Clayton State University,0.0,4628.0,0.477,12015.0,0,0,0,1,0,0
907,Columbus State University,0.0,5949.0,0.5543,11560.0,0,0,0,1,0,0
917,Fort Valley State University,0.0,2973.0,0.3273,14220.0,0,0,0,1,0,0
919,Georgia Institute of Technology-Main Campus,0.0,12234.0,0.5493,11053.0,0,0,0,1,0,0
920,Georgia Southwestern State University,0.0,4347.0,0.6803,12247.0,0,0,0,1,0,0
921,Georgia College and State University,0.0,7701.0,0.6798,16352.0,0,0,0,1,0,0
923,Georgia Southern University,0.0,5662.0,0.52,16405.0,0,0,0,1,0,0
924,Georgia State University,0.0,7284.0,0.5466,15377.0,0,0,0,1,0,0
925,University of Georgia,0.0,10079.0,0.5608,11990.0,0,0,0,1,0,0
932,Kennesaw State University,0.0,5776.0,0.5654,15602.0,0,0,0,1,0,0
950,Savannah State University,0.0,2937.0,0.8299,10184.0,0,0,0,1,0,0
955,Southern Polytechnic State University,0.0,6239.0,0.7798,10889.0,0,0,0,1,0,0
961,Valdosta State University,0.0,5388.0,0.5522,15672.0,0,0,0,1,0,0
963,University of West Georgia,0.0,5394.0,0.5385,13514.0,0,0,0,1,0,0
967,University of Hawaii at Hilo,0.0,6601.0,0.752,9749.0,0,0,0,1,0,0
968,University of Hawaii at Manoa,0.0,9277.0,0.8009,11102.0,0,0,0,1,0,0
983,Boise State University,0.0,6355.0,0.7766,14404.0,0,0,0,1,0,0
986,University of Idaho,0.0,7622.0,0.6565,13051.0,0,0,0,1,0,0
1026,Chicago State University,0.0,8139.0,0.2865,10373.0,0,0,0,1,0,0
1046,Eastern Illinois University,0.0,7891.0,0.6191,17740.0,0,0,0,1,0,0
1064,University of Illinois at Chicago,0.0,12091.0,0.714,13545.0,0,0,0,1,0,0
1067,University of Illinois at Urbana-Champaign,0.0,13770.0,0.6239,18798.0,0,0,0,1,0,0
1074,Illinois State University,0.0,10026.0,0.6892,19761.0,0,0,0,1,0,0
1127,Northern Illinois University,0.0,7618.0,0.5613,19624.0,0,0,0,1,0,0
1130,Northeastern Illinois University,0.0,6847.0,0.5981,15952.0,0,0,0,1,0,0
1154,University of Illinois at Springfield,0.0,6839.0,0.5977,10799.0,0,0,0,1,0,0
1166,Southern Illinois University-Carbondale,0.0,9537.0,0.7887,16265.0,0,0,0,1,0,0
1167,Southern Illinois University-Edwardsville,0.0,8030.0,0.8419,16702.0,0,0,0,1,0,0
1179,Western Illinois University,0.0,7597.0,0.5931,18373.0,0,0,0,1,0,0
1185,Ball State University,0.0,7383.0,0.6054,15294.0,0,0,0,1,0,0
1209,Indiana University-Purdue University-Fort Wayne,0.0,5645.0,0.8309,14337.0,0,0,0,1,0,0
1210,Indiana University-Purdue University-Indianapolis,0.0,10524.0,0.6958,14666.0,0,0,0,1,0,0
1214,University of Southern Indiana,0.0,4864.0,0.6934,14098.0,0,0,0,1,0,0
1215,Indiana State University,0.0,5564.0,0.8306,11864.0,0,0,0,1,0,0
1216,Indiana University-Kokomo,0.0,4930.0,0.7355,10921.0,0,0,0,1,0,0
1217,Indiana University-South Bend,0.0,5333.0,0.7003,12068.0,0,0,0,1,0,0
1218,Indiana University-Bloomington,0.0,16225.0,0.7217,14174.0,0,0,0,1,0,0
1219,Indiana University-Northwest,0.0,5114.0,0.7625,13211.0,0,0,0,1,0,0
1220,Indiana University-Southeast,0.0,5156.0,0.7945,11550.0,0,0,0,1,0,0
1221,Indiana University-East,0.0,4719.0,0.5381,9011.0,0,0,0,1,0,0
1247,Purdue University-Calumet Campus,0.0,6683.0,0.6063,12007.0,0,0,0,1,0,0
1248,Purdue University-North Central Campus,0.0,4733.0,0.7218,9850.0,0,0,0,1,0,0
1302,Iowa State University,0.0,9395.0,0.8252,14336.0,0,0,0,1,0,0
1305,University of Iowa,0.0,13317.0,0.8023,14379.0,0,0,0,1,0,0
1320,University of Northern Iowa,0.0,5818.0,0.8331,15207.0,0,0,0,1,0,0
1364,Emporia State University,0.0,6666.0,0.6069,13332.0,0,0,0,1,0,0
1366,Fort Hays State University,0.0,5138.0,0.8917,11268.0,0,0,0,1,0,0
1380,University of Kansas,0.0,10498.0,0.9228,17690.0,0,0,0,1,0,0
1383,Kansas State University,0.0,9415.0,0.9591,15852.0,0,0,0,1,0,0
1397,Pittsburg State University,0.0,4634.0,0.7898,12040.0,0,0,0,1,0,0
1406,Washburn University,0.0,5262.0,0.7923,11215.0,0,0,0,1,0,0
1408,Wichita State University,0.0,5790.0,0.9576,13342.0,0,0,0,1,0,0
1428,Eastern Kentucky University,0.0,5757.0,0.6002,10496.0,0,0,0,1,0,0
1443,Kentucky State University,0.0,7858.0,0.3774,12299.0,0,0,0,1,0,0
1445,University of Kentucky,0.0,10316.0,0.6861,14333.0,0,0,0,1,0,0
1450,University of Louisville,0.0,10747.0,0.7112,13834.0,0,0,0,1,0,0
1456,Morehead State University,0.0,5386.0,0.8449,10439.0,0,0,0,1,0,0
1457,Murray State University,0.0,7185.0,0.8217,9600.0,0,0,0,1,0,0
1459,Northern Kentucky University,0.0,8624.0,0.467,8753.0,0,0,0,1,0,0
1482,Western Kentucky University,0.0,7278.0,0.9232,10470.0,0,0,0,1,0,0
1502,Grambling State University,0.0,4270.0,0.4363,14501.0,0,0,0,1,0,0
1509,Louisiana State University and Agricultural & Mechanical College,0.0,8813.0,0.7623,11610.0,0,0,0,1,0,0
1511,Louisiana State University-Shreveport,0.0,3410.0,0.8349,7436.0,0,0,0,1,0,0
1518,Louisiana Tech University,0.0,5871.0,0.6744,9283.0,0,0,0,1,0,0
