index,INSTNM,DISTANCEONLY,TUITFTE,ADM_RATE_ALL,NPT4_PRIV,HIGHDEG_ Associate degree,HIGHDEG_ Bachelor&#39;s degree,HIGHDEG_ Certificate degree,HIGHDEG_ Graduate degree,HIGHDEG_ Non-degree-granting,Labels_3Clusters
77,Carrington College-Mesa,0.0,13311.0,1.0,22169.0,1,0,0,0,0,3
78,Carrington College-Tucson,0.0,11942.0,1.0,21229.0,1,0,0,0,0,3
205,American Academy of Dramatic Arts-Los Angeles,0.0,23029.0,0.2837,41436.0,1,0,0,0,0,3
271,Casa Loma College-Van Nuys,0.0,8512.0,1.0,25630.0,1,0,0,0,0,3
460,Concorde Career College-San Diego,0.0,6775.0,1.0,20344.0,1,0,0,0,0,3
496,Golf Academy of America-Carlsbad,0.0,25375.0,1.0,23374.0,1,0,0,0,0,3
543,Concorde Career College-Garden Grove,0.0,9273.0,1.0,27175.0,1,0,0,0,0,3
556,Concorde Career College-San Bernardino,0.0,11385.0,1.0,19506.0,1,0,0,0,0,3
558,Concorde Career College-North Hollywood,0.0,12239.0,1.0,20239.0,1,0,0,0,0,3
568,Carrington College California-Sacramento,0.0,14389.0,0.7226,16838.0,1,0,0,0,0,3
582,Bel-Rea Institute of Animal Technology,0.0,5648.0,0.6754,21736.0,1,0,0,0,0,3
590,Concorde Career College-Aurora,0.0,6557.0,1.0,20374.0,1,0,0,0,0,3
756,Concorde Career Institute-Jacksonville,0.0,7627.0,1.0,21114.0,1,0,0,0,0,3
757,Concorde Career Institute-Miramar,0.0,8208.0,1.0,18324.0,1,0,0,0,0,3
758,Concorde Career Institute-Tampa,0.0,6670.0,1.0,19779.0,1,0,0,0,0,3
882,Andrew College,0.0,5526.0,0.4013,15702.0,1,0,0,0,0,3
900,Brown College of Court Reporting,0.0,11441.0,0.8182,24427.0,1,0,0,0,0,3
981,Carrington College-Boise,0.0,15240.0,1.0,22487.0,1,0,0,0,0,3
1051,Fox College,0.0,18664.0,0.6687,16897.0,1,0,0,0,0,3
1128,Northwestern College-Chicago Campus,0.0,11887.0,0.9196,23488.0,1,0,0,0,0,3
1168,Taylor Business Institute,0.0,7050.0,1.0,16350.0,1,0,0,0,0,3
1223,International Business College-Indianapolis,0.0,16154.0,0.8297,16346.0,1,0,0,0,0,3
1329,St Luke's College,0.0,14193.0,0.375,21626.0,1,0,0,0,0,3
1378,Concorde Career Colleges,0.0,6930.0,1.0,18868.0,1,0,0,0,0,3
1538,Remington College-Lafayette Campus,0.0,10157.0,0.7805,22144.0,1,0,0,0,0,3
1810,MIAT College of Technology,0.0,11289.0,0.9593,13614.0,1,0,0,0,0,3
2131,St Louis College of Health Careers-St Louis,0.0,13274.0,0.3158,24722.0,1,0,0,0,0,3
